Document Id,Similar Count,Hash,Document Type,File Extension,File Size,Character Count,Page Count,Primary Language
3101,6,5A45DBA6AF615BA6347026477541174EA42ADBE2,Email,.msg,100864,6607,4,English
3120,8,053498835C0061F01E127327459966264E75036F,Email,.msg,48128,8251,5,English
3123,2,9B184B32D7DA9EE3DE0014E87D43D15ABAA4F08C,Email,.msg,58880,2320,2,English
3127,5,EC28ACB6F8F35B8180CECDA1AADF5FB015019FBE,Email,.msg,125952,9838,5,English
3134,5,077CAB407C77625EB12DA4A80EBD11017F370B01,Email,.msg,77312,3335,3,English
3136,3,0E8C8D0CD63C03ACC180728188EF267B9261AD7C,Email,.msg,37888,1540,2,English
3157,1,0573AC80128B62860A315D419CEBB5CCF4B95ABE,Email,.msg,325632,3413,2,English
3160,2,9BB4909F08E29FDFA287CF0762E523240AF51BE8,Email,.msg,67584,2538,2,English
3164,3,AFB684C7DBF45B1F77B0484EFA38A71F3D0D97ED,Email,.msg,75264,7088,5,English
3195,1,54A846F8CAC701DA2A5554EA5661632AD8164348,Email,.msg,40960,1859,2,English
3207,3,41FF0250A992B7AA03C7A45C8E5E56D1036E0F57,Email,.msg,223232,13605,7,English
3212,4,7CEB4CA4CC23FA9C794F9CE72B9AA78884CD598F,Email,.msg,121856,4754,3,English
3215,5,77C2F4D5036BCA35D79417C898782F69C452FF5D,Email,.msg,114688,17203,7,English
3236,1,54BE8F18A263D3EA3A6DAB9356FB5F8EA6954A84,Email,.msg,1240576,9855,5,English
3238,2,C63F69988261226A49BE70AB0B02B7DDD2CDA839,Email,.msg,128512,1830,2,English
3245,5,B09C4E26B262A6E4F28661D15536A887FF72936E,Email,.msg,66048,3110,2,English
3259,7,4AF2A5F1803E6D8AB8E373B46CA94CA8D36BCFE0,Email,.msg,161280,5773,4,English
3267,3,5C2533E97408AC9DB680D07C53D6851ACB7339C6,Email,.msg,56832,5131,4,English
3268,4,8E485D28DBDD732890E09581F035E5E96699FA30,Email,.msg,77312,3677,3,English
3273,4,088CF54AE08DCA98C2DEA4B46AF71F881223A608,Email,.msg,78848,6891,5,English
3279,1,C7543C0B7D45A5B172A2218491AE7880886C1B10,Email,.msg,103424,5988,4,English
3287,2,B0C0E64B2E4D8F7233DA8F5E730F072FC18B9DBB,Email,.msg,61440,5780,4,English
3297,4,788BBFA2F651D463508EFBCD9AE5BE0F4A00180D,Email,.msg,155136,15924,8,English
3316,3,1F84FB95FF19E836F7CEF191EB4D4CDF82E79307,Email,.msg,52224,1996,2,English
3345,9,4B0A985D606F39272F3ACD517C70135A719C264E,Email,.msg,103936,8345,5,English
3363,4,5C3A921E374169978B437369B19CAEB884617247,Email,.msg,105472,4305,3,English
3365,3,EEE52FD800C11BD1B24193B1AB6C5BCF97FA1584,Email,.msg,99328,4674,3,English
3372,2,9DA60E3F0A6086FCC3067460B4D54F063A95D40C,Email,.msg,78848,4809,3,English
3406,3,7F6214EA372EDBC3CA8133DD74CA2D3F04672060,Email,.msg,178176,8867,5,English
3419,1,9EECBCA41ABB23D526087B95512B0206DD511895,Email,.msg,194048,6638,7,English
3426,4,79282E524B42649FB53132BBBC22B2072CA0F46B,Email,.msg,64512,5206,3,English
3497,1,F05F6EA0235E0D3FA991EA65E9E5A5BF2C9E9A32,Email,.msg,80384,1805,2,English
3521,7,8064F218536FAECD8D4E3665FA2A65CFDB8889AA,Email,.msg,156672,14334,7,English
3540,8,562C1DF9A6B01821382BE94049A6BE5485F06286,Email,.msg,185344,14302,8,English
3554,1,909669A51F419FA661C75ADD04292DAD26C80267,Email,.msg,54272,2483,2,English
3558,7,B3D43025E59FDF5701761CD9F53DC8952A329B18,Email,.msg,67584,4405,3,English
3580,7,F129BF41DFA6936296D21A4C73F237B2C4C5B2CF,Email,.msg,101376,7049,4,English
3582,2,0690949AA9248F964578156C4B4FBF808664C335,Email,.msg,150016,9285,6,English
3595,1,16DCD7511D7D5C4734EFCBACF605249807552FF9,Email,.msg,84992,1980,2,English
3597,6,90DC6104730061EB362BB1962C36F7EB6C11D71A,Email,.msg,172544,16962,7,English
3602,3,B41C673D52C4EF0EE2B202A0330B784557DCCEF3,Email,.msg,138240,7223,5,English
3616,1,E1036CE56A9EE8584BC440F5F5C0A7888E2B33F1,Email,.msg,60928,1425,3,English
